Number of Breweries,Household Income
67,43253.0
27,70760.0
155,49774.0
56,40768.0
902,61094.0
308,58433.0
53,69461.0
24,59878.0
14,65830.0
272,46956.0
77,49179.0
24,67402.0
46,46767.0
234,56797.0
144,48248.0
106,51843.0
33,51332.0
51,43036.0
36,44874.0
325,48453.0
125,73538.0
107,66866.0
270,48411.0
111,59836.0
13,39031.0
125,47380.0
73,46230.0
49,51672.0
59,52800.0
50,64916.0
152,71629.0
49,44927.0
461,58003.0
184,46334.0
5,53741.0
376,48308.0
25,45339.0
298,50229.0
402,52548.0
20,56361.0
60,44779.0
14,49495.0
95,44298.0
314,51900.0
33,58821.0
57,54267.0
175,63907.0
342,59478.0
32,41043.0
326,52413.0
16,57406.0
